A,airportZone,
AAE,|FR|Algerian x2,
AAE,Mediterranean Black Sea,
AAL,Atlantic Fishing,
AAL,Healthcare,
AAL,Jutland capital journeys,
AAL,Wind Energy,
AAN,|AE|Malayali,
AAR,Dairy,
ABA,Aluminum,
ABJ,Agriculture,
ABJ,Logistics MEA,
ABJ,Spices / Tropical Ag,
ABQ,Academia,
ABQ,Hispanic|,
ABQ,Renewable Energy,
ABQ,UFOs,
ABV,|US|Nigerian,
ABV,Bureaucracy,
ABY,Cotton,
ABZ,Atlantic Fishing,
ABZ,Offshore Oil,
ABZ,Oil,
ABZ,Whiskey,
ACA,|US|Guerrero & Oaxaca,
ACC,|NL|Ghanaian,
ACC,Agriculture,
ACC,Spices / Tropical Ag,
ACE,Atlantic Fishing,
ACK,Wind Energy,
ACT,Ranching,
ACV,|US|Guerrero & Oaxaca,
ACV,Drug trafficking,
ACV,Forestry,Arcata/Eureka
ACY,Casinos,
AD1,Offshore Oil,oil platform
ADA,|DK|Turkish,
ADA,|NL|Turkish,
ADA,Agriculture,
ADB,|DK|Turkish,
ADB,|NL|Turkish,
ADB,Wind Energy,
ADD,|IE|Ethiopian,
ADD,|US|Ethiopian,
ADD,|ZA|Ethiopian,
ADD,Bureaucracy,
ADD,Coffee,
ADD,Logistics MEA,
ADL,|AU|Indian,
ADL,Viticulture,
ADQ,Arctic Fishing,
ADZ,Coffee,
AEP,|US|Jewish,
AEP,Agribusiness,
AEP,Loves Florianopolis x2|,
AES,Atlantic Fishing,
AEY,Geothermal,
AGA,Atlantic Fishing,
AGM,Arctic Fishing,
AGP,|ES|Ecuadorian,
AGP,Mediterranean Ag,
AGP,Telco,
AGR,Footwear,
AGS,Golf,
AGT,German|,
AGT,Spices / Tropical Ag,
AGU,|US|Durango & Zacatecas,
AHB,|SA|Pakistani,
AHB,Petrochemicals,
AIP,|CA|Punjabi,
AJF,Offshore Oil,
AKL,|NZ|Indian,
AKL,|NZ|Samoan,
AKL,Dairy,
AKL,Logistics APAC,
AKN,Arctic Fishing,
AKU,Cotton,
AKU,Sunni|,
ALA,LNG,
ALA,Logistics CIS,
ALA,Oil,
ALB,Dairy,
ALB,Loves DR x2|,
ALC,British Sunny Vacay x2|,
ALC,Mediterranean Ag,
ALC,Petrochemicals,
ALG,|CA|Algerian,
ALG,|FR|Algerian x2,
ALG,Logistics EU Med,
ALG,Oil,
ALO,Wind Energy,
ALP,|BR|Syrian,
ALP,|NL|Syrian,
ALS,UFOs,
AMA,Ranching,
AMA,UFOs,
AMA,Wind Energy,
AMD,|KE|Gujarati,
AMD,Dairy,
AMD,Pharma,
AMD,Textiles,
AMH,|US|Ethiopian,
AMH,|ZA|Ethiopian,
AMM,Healthcare,
AMS,|NL|Ghanaian,
AMS,|NL|Indonesian,
AMS,|NL|Moroccan,
AMS,|NL|Surinamese,
AMS,|NL|Turkish,
AMS,Diamonds,
AMS,Drug trafficking,
AMS,Horticulture,
AMS,Semiconductors,
ANC,|US|Samoan,
ANC,Arctic Fishing,
ANC,Arctic Oil,Anchorage Alaska
ANC,LNG,
ANF,Copper,Antofagasta Chile
ANR,Diamonds,
ANR,Drug trafficking,
ANR,Global Logistics,
ANR,Logistics EU Med,
ANR,Loves Tiroler Unterlan x2|,
ANR,Telco,
ANX,Atlantic Fishing,
AOG,Steel,
AOI,Footwear,
APL,Agriculture,
APN,Maple Syrup,
AQ0,Academia,
AQP,Copper,Arequipa Peru
ARH,Arctic Fishing,
ARH,Forestry,
ARK,Nordic / Lutheran|,
ARM,Ranching,
ARN,|NL|Syrian,
ARN,|SE|Iraqi,
ARN,Industrial automation,
ARN,Software,
ARN,Telco,
ARU,Sugar,
ASB,LNG,
ASB,Oil,
ASR,CPG & Retail,
AT2,Offshore Oil,oil platform
ATH,|AU|Greek,
ATH,Marine,
ATL,|US|Colombian,
ATL,|US|Korean,
ATL,|US|Nigerian,
ATL,CPG & Retail,Coca Cola
ATL,Defense,
ATL,Logistics NAC,
ATL,Loves DR x2|,
ATQ,|CA|Punjabi,
ATQ,Agriculture,
ATQ,Cotton,
ATW,Nordic / Lutheran|,
AUH,|AE|Malayali,
AUH,|AE|Pakistani,
AUH,Aluminum,
AUH,Banking,
AUH,Oil Refining,
AUS,|US|Durango & Zacatecas,
AUS,|US|Pakistani,
AUS,Academia,
AUS,Apple,
AUS,Renewable Energy,
AUS,Semiconductors,
AUS,Software,
AVA,Rice,
AVL,Academia,University of North Carolina at Asheville
AVL,Paper & Furniture,Asheville
AVV,|AU|Indian,
AVV,|AU|Italian,
AWZ,Oil Refining,
AWZ,Petrochemicals,
AWZ,Steel,
AXD,Mediterranean Black Sea,
AYT,Russian Vacay Destination x2|,
AZS,Sugar,
BAH,Aluminum,
BAH,LNG,
BAH,Offshore Oil,
BAQ,|CL|Colombian,
BAQ,|MX|Colombian,
BAQ,|US|Colombian,
BAR,Rice,
BAV,Aluminum,
BAV,Rare earths,Baotou
BBI,Rice,
BBK,Gemstones,
BCN,|ES|Ecuadorian,
BCN,Textiles,
BDA,High finance,
BDB,Sugar,
BDJ,Diamonds,
BDL,|US|Irish American,
BDL,|US|Polish,
BDL,|US|Stateside Puerto Ricans,
BDL,Academia,University of Connecticut
BDL,Loves DR x2|,
BDO,Spices / Tropical Ag,
BDQ,Dairy,
BDU,Defense,
BEG,|DE|Serbian,
BEG,|FR|Serbian,
BEG,Agriculture,
BEG,Logistics EU Med,
BEL,|BR|Nikkei,
BEL,Agribusiness,
BEL,Amazonia,
BER,|DE|Iranian,
BER,|DE|Serbian,
BER,|DE|Turkish,
BER,Entertainment,
BER,Industrial automation,
BER,Renewable Energy,
BER,Telco,
BES,Marine,
BET,Arctic Oil,Bethel Alaska
BEY,Shia|,
BFI,Academia,University Washington
BFI,Aerospace,
BFL,Hispanic|,
BFL,Logistics NAC,Bakersfield CA
BFL,Mediterranean Ag,Bakersfield CA
BGO,Atlantic Fishing,
BGO,Marine,
BGO,Offshore Oil,
BGO,Wind Energy,
BGW,|SE|Iraqi,
BGW,|TR|Iraqi,
BGW,Shia|,
BGY,|IT|Romanian,
BGY,Banking,
BGY,Dairy,
BGY,Footwear,
BHE,Viticulture,Blenheim New Zealand
BHE,Viticulture,
BHJ,|KE|Gujarati,
BHM,Academia,
BHM,Heavy industry,
BHX,|GB|Indian,
BIL,Forestry,Billings
BIO,Renewable Energy,
BIQ,Surfing,
BIS,Nordic / Lutheran|,
BJA,|FR|Algerian x2,
BJR,|ZA|Ethiopian,
BJX,Footwear,
BJX,Textiles,
BKI,Spices / Tropical Ag,Kota Kinabalu
BKK,|TH|Chinese,
BKK,Banking,
BKK,CPG & Retail,
BKK,Electronics,
BKS,Geothermal,
BLA,Oil,
BLJ,|FR|Algerian x2,
BLL,Dairy,
BLL,Toys,
BLL,Wind Energy,
BLQ,Automotive,
BLQ,CPG & Retail,
BLR,|AE|Kannada,
BLR,|OM|Kannada,
BLR,Software,
BLR,Sunni|,
BLR,Telco,
BMI,Academia,
BNA,Automotive,
BNA,CPG & Retail,
BNA,Entertainment,
BNA,Healthcare,
BNA,US Finance,
BND,Logistics MEA,
BNE,|AU|Chinese,
BNE,|AU|Indian,
BNE,|AU|Vietnamese,
BNE,Logistics APAC,
BNE,Renewable Energy,
BOD,|FR|Algerian x2,
BOD,Viticulture,
BOG,|CL|Colombian,
BOG,|MX|Colombian,
BOG,|US|Colombian,
BOG,Andean connect,
BOG,Coffee,
BOG,Colonial ties bind,
BOG,Horticulture,
BOH,Healthcare,
BOI,Forestry,Boise
BOI,Healthcare,
BOI,Paper & Furniture,
BOJ,Agriculture,
BOJ,Mediterranean Black Sea,
BOM,|SG|Marathi,
BOM,Banking,
BOM,Bollywood 2 Bureaucracy x2,
BOM,Diamonds,
BOM,Entertainment,
BOM,Sunni|,
BOM,Textiles,
BOS,|US|Brazilian,
BOS,|US|Irish American,
BOS,Academia,Harvard University
BOS,Banking,
BOS,Life sciences,
BOS,Software,
BOS,US Finance,
BOX,Zinc-lead,
BPN,Nickel,
BPN,Oil,Balikpapan Indonesia
BPT,Oil Refining,
BQS,Defense RU,
BRD,Paper & Furniture,Brainerd
BRE,Agribusiness,
BRE,Loves Arctic|,
BRE,Loves Bolzano x2|,
BRE,Nordic / Lutheran|,
BRE,Wind Energy,
BRI,Viticulture,
BRO,Aerospace,
BRO,Hispanic|,
BRS,Aerospace,
BRU,|CD|Congolese,
BRU,Bureaucracy,
BRU,CPG & Retail,
BRU,Pharma,
BRW,Arctic Oil,Barrow Alaska
BRW,LNG,
BRX,Sugar,
BSB,Agribusiness,
BSB,Bureaucracy,
BSB,Coffee,
BSL,Life sciences,
BSR,|SE|Iraqi,
BSR,|TR|Iraqi,
BSR,Oil,
BSR,Shia|,
BTJ,Indian Ocean Fishing,
BTJ,Surfing,
BTK,Gold,Bratsk (Lena goldfields) Russia
BTM,Zinc-lead,
BTR,Academia,LSU
BTR,LNG,
BTR,Oil Refining,
BTS,Appliances,
BTS,Automotive,
BTU,LNG,
BTV,Academia,University of Vermont
BTV,Dairy,
BTV,Maple Syrup,
BUD,Automotive,
BUD,Pharma,
BUF,Agribusiness,
BUF,Heavy industry,
BUF,Life sciences,
BUF,Toys,Fisher-Price
BUQ,Logistics MEA,
BUQ,Zim Connect x2,
BUR,Aerospace,
BUR,Entertainment,
BUR,Hispanic|,
BUR,SoCal NoCal,
BUZ,Logistics MEA,
BUZ,Marine,
BUZ,Petrochemicals,
BVA,|FR|Algerian x2,
BVA,|FR|Moroccan,
BVA,|FR|Polish,
BVA,|FR|Serbian,
BVA,|FR|Tunisian x2,
BVA,Aerospace,
BVA,Software,
BWI,|US|Guatemalan,
BWI,|US|Nigerian,
BWI,|US|Salvadoran,
BWI,Defense,
BWI,Logistics NAC,
BWN,LNG,
BWN,Oil,
BWN,Sinophone|,
BWN,Spices / Tropical Ag,
BZL,Rice,
BZO,Loves Bolzano x2|,
CAB,Francophonie|,
CAE,Academia,
CAE,Healthcare,
CAG,Mediterranean Ag,
CAH,Seafood,
CAI,Agriculture,
CAK,LNG,
CAN,Cantonese|,
CAN,Chinese Tourism|,
CAN,Electronics,
CAN,Footwear,
CAN,Software,
CAN,Textiles,
CAN,Toys,
CAY,Aerospace,
CAZ,Copper,Cobar
CAZ,Gold,Cobar (various mines) New South Wales
CBB,|AR|Bolivian,
CBB,|BR|Bolivian,
CBR,Bureaucracy,
CCJ,|AE|Malayali,
CCJ,|MY|Malayali,
CCJ,|OM|Malayali,
CCJ,|SA|Malayali,
CCJ,Sunni|,
CCP,Heavy industry,
CCP,Viticulture,Itata Valley
CCS,|CL|Venezuelan,
CCS,|PE|Venezuelan,
CCS,|US|Venezuelan,
CCS,Oil,
CCU,|CA|Bengali,
CCU,|US|Bengali,
CCU,Bengali|,
CCU,Logistics APAC,
CCU,Sunni|,
CCU,Tea,
CDG,|FR|Algerian x2,
CDG,|FR|Jewish,
CDG,|FR|Moroccan,
CDG,|FR|Polish,
CDG,Automotive,
CDG,Banking,
CDG,Life sciences,Sciences Po
CDG,Software,
CEB,Appliances,
CEB,Chinese Tourism|,
CEB,Electronics,
CEC,Forestry,
CEE,Paper & Furniture,
CEI,Gemstones,
CEN,Copper,
CFB,Offshore Oil,
CGB,Gold,
CGB,Ranching,
CGB,Sugar,
CGH,|US|Brazilian,
CGH,Agribusiness,
CGH,Banking,
CGH,Healthcare,
CGH,Logistics LATAM,
CGJ,Copper,Chingola Zambia
CGK,|ID|Chinese,
CGK,|ID|Tamil,
CGK,|NL|Indonesian,
CGK,Coffee,
CGK,CPG & Retail,
CGK,Tea,
CGN,Banking,
CGN,Life sciences,
CGN,Loves Arctic|,
CGN,Loves Bolzano x2|,
CGO,|CA|Chinese,
CGO,Agribusiness,
CGO,Apple,
CGO,Automotive,
CGO,Chinese Tourism|,
CGO,Cotton,
CGQ,Nickel,
CGQ,Zinc-lead,
CGR,|BR|Nikkei,
CGR,Agribusiness,
CHC,|NZ|Indian,
CHC,|NZ|Samoan,
CHC,Agribusiness,
CHC,Dairy,
CHC,Logistics APAC,
CHO,Academia,University of Virginia
CHS,Aerospace,
CIA,|IT|Romanian,
CID,Academia,University of Iowa
CIU,Forestry,
CJB,|AE|Tamil,
CJB,|ID|Tamil,
CJB,|MY|Tamil,
CJB,Healthcare,
CJB,Tea,
CJB,Textiles,
CJC,Copper,Calama Chile
CJC,Gemstones,
CJS,Electronics,
CJS,Logistics NAC,
CKG,|AU|Chinese,
CKG,|CA|Chinese,
CKG,|ID|Chinese,
CKG,|TH|Chinese,
CKG,|US|Chinese,
CKG,Automotive,
CKG,Chinese Tourism|,
CKG,Logistics APAC,
CKG,Rice,
CKZ,Mediterranean Black Sea,
CLE,|US|Stateside Puerto Ricans,
CLE,Aerospace,
CLE,Appliances,Whirlpool
CLE,Healthcare,
CLE,Loves DR x2|,
CLO,|CL|Colombian,
CLO,|MX|Colombian,
CLO,|US|Colombian,
CLO,Agribusiness,
CLO,Drug trafficking,
CLQ,|US|Jalisco & Michoacán,
CLT,Industrial automation,
CLT,Loves DR x2|,
CLT,US Finance,
CLV,Ranching,
CMB,Gemstones,
CMB,Indian Ocean Fishing,
CMB,Tea,
CMB,Textiles,
CME,Offshore Oil,
CMG,|BR|Nikkei,
CMH,|US|Jalisco & Michoacán,
CMH,|US|Somali,
CMH,Academia,Ohio State University
CMH,Logistics NAC,
CMH,Semiconductors,
CMH,US Finance,
CMI,Academia,University of Illinois
CMN,|CA|Moroccan,
CMN,|FR|Moroccan,
CMN,|NL|Moroccan,
CMN,Logistics EU Med,
CMN,Logistics MEA,
CND,Mediterranean Black Sea,
CNF,Agribusiness,
CNF,Automotive,
CNF,Coffee,
CNF,Dairy,
CNJ,Gold,Cloncurry (Ernest Henry Mine) Queensland
CNN,|AE|Malayali,
CNN,|MY|Malayali,
CNN,|OM|Malayali,
CNN,|SA|Malayali,
CNS,|AU|Indian,
CNS,Pacific Fishing,
CNS,Sugar,
CNX,Chinese Tourism|,
CNX,Spices / Tropical Ag,
CNX,Sugar,
COK,|AE|Malayali,
COK,|MY|Malayali,
COK,|OM|Malayali,
COK,|SA|Malayali,
COK,Indian Ocean Fishing,
COK,Rare earths,
COK,Textiles,
COR,Agribusiness,
COR,CPG & Retail,Arcor
COR,Loves Florianopolis x2|,
COR,Ranching,
CPD,Oil Fracking,
CPH,|DK|Turkish,
CPH,Dairy,
CPH,Jutland capital journeys,
CPH,Life sciences,
CPH,Marine,
CPH,Renewable Energy,
CPH,Wind Energy,
CPO,Copper,Copiapó Chile
CPT,Logistics MEA,
CPT,Mediterranean Ag,
CPT,Viticulture,
CRK,|IE|Filipino,
CRK,|IT|Filipino,
CRK,|US|Filipino,
CRK,CPG & Retail,
CRK,Electronics,
CRL,Healthcare,
CRP,Hispanic|,
CRP,Offshore Oil,
CRP,Ranching,
CRP,Wind Energy,
CRZ,Oil,
CSX,Agribusiness,
CSX,Chinese Tourism|,
CSX,Electronics,
CSX,Industrial automation,
CSX,Steel,
CTA,|AU|Italian,
CTA,|BR|Italian,
CTA,|US|Italian,
CTG,Petrochemicals,
CTS,Arctic Fishing,
CTS,Whiskey,
CTU,Automotive,
CTU,Banking,
CTU,Electronics,
CTU,Rice,
CUL,Agriculture,
CUL,Drug trafficking,
CUN,|MX|Bolivian,
CUN,Anglophone|,
CUN,Casinos,
CUN,Loves Cancun x2|,
CUU,Appliances,
CUU,Automotive,
CUU,Logistics NAC,
CUZ,Colonial ties bind,
CVG,Industrial automation,
CVG,Logistics NAC,
CVG,US Finance,
CWA,Maple Syrup,
CWB,|BR|Nikkei,
CWB,Appliances,
CWB,Dairy,
CWB,UFOs,
CXR,Chinese Tourism|,
CXR,Russian Vacay Destination x2|,
CXR,Seafood,
CYI,Oil Refining,
CZL,|FR|Algerian x2,
CZM,Loves Cancun x2|,
CZX,Industrial automation,
DAC,|SA|Bangladeshi,
DAC,Banking,
DAC,Tea,
DAC,Textiles,
DAD,|AU|Vietnamese,
DAD,|JP|Vietnamese,
DAD,|US|Vietnamese,
DAD,Appliances,
DAD,Drug trafficking,
DAD,Seafood,
DAL,Aerospace,
DAL,Arctic Oil,
DAL,Industrial automation,
DAL,Oil,
DAL,Oil Fracking,
DAL,Ranching,
DAL,Telco,
DAM,|BR|Syrian,
DAM,|NL|Syrian,
DAM,Shia|,
DAR,Logistics MEA,
DAY,Healthcare,
DBV,Mediterranean Ag,
DCA,Aerospace,
DCA,Banking,
DCA,Bureaucracy,
DCA,Defense,
DCA,High finance,
DCA,NA Capitols|,
DDC,Grain Belt,
DEL,Banking,
DEL,Bollywood 2 Bureaucracy x2,
DEL,Bureaucracy,
DEL,Sunni|,
DEL,Telco,
DEN,|US|Ethiopian,
DEN,Aerospace,
DEN,Gold,
DEN,Renewable Energy,
DEN,Software,
DFW,|US|Chinese,
DFW,|US|Durango & Zacatecas,
DFW,|US|Indian,
DFW,|US|Jalisco & Michoacán,
DFW,Loves DR x2|,
DFW,Semiconductors,
DFW,Telco,
DGO,|US|Durango & Zacatecas,
DGT,Geothermal,Palinpinon Geothermal Power Plant
DHA,Oil,
DIK,Oil Fracking,
DLA,Offshore Oil,
DLC,Marine,
DLC,Petrochemicals,
DLC,Seafood,
DLG,Arctic Oil,Dillingham Alaska
DLH,Nordic / Lutheran|,
DME,|RU|Armenian,
DME,Defense RU,
DME,Defense RU,
DME,Nickel,
DME,Petrochemicals,
DME,Russian Vacay Destination x2|,
DMK,|TH|Chinese,
DMK,Appliances,
DMK,Chinese Tourism|,
DMK,Rice,
DMM,|SA|Bangladeshi,
DMM,|SA|Malayali,
DMM,|SA|Pakistani,
DMM,Offshore Oil,
DMM,Oil,
DNZ,Geothermal,Kızıldere Geothermal Power Plant
DOH,LNG,
DOH,Logistics MEA,
DOL,Logistics EU Med,Le Harve
DOU,Ranching,
DPS,|ID|Chinese,
DPS,|ID|Tamil,
DPS,|NL|Indonesian,
DPS,Chinese Tourism|,
DPS,Loves Bali x2|,
DPS,Surfing,
DRP,Geothermal,
DRS,Pharma,
DRS,Semiconductors,
DRW,Defense,
DRW,Pacific Fishing,Darwin
DSM,|US|Jalisco & Michoacán,
DSM,Agribusiness,
DSM,Grain Belt,
DSS,Logistics MEA,
DSS,Oil Refining,
DTM,|DE|Serbian,
DTM,Industrial automation,
DTM,Logistics EU Med,
DTM,Loves Arctic|,
DTM,Loves Bolzano x2|,
DTW,Automotive,
DTW,Healthcare,
DTW,Loves DR x2|,
DTW,Sunni|,
DTW,US Finance,
DUB,|IE|Polish,
DUB,|US|Irish American,
DUB,Golf,
DUB,High finance,
DUB,US Finance,
DUB,Whiskey,
DUD,Academia,University of Otago
DUR,|ZA|Ethiopian,
DUR,Agribusiness,
DUR,Logistics MEA,
DUS,|DE|Serbian,
DUS,Banking,
DUS,Loves Arctic|,
DUS,Loves Bolzano x2|,
DUS,Telco,
DUT,Arctic Fishing,
DVL,Grain Belt,
DVO,|IE|Filipino,
DVO,|IT|Filipino,
DVO,|US|Filipino,
DVO,Spices / Tropical Ag,
DWC,|AE|Pakistani,
DWC,Aluminum,
DXB,|AE|Malayali,
DXB,|AE|Pakistani,
DXB,Global Logistics,
DXB,Gold,
DXB,High finance,
DXB,Oil,
DXB,Petrochemicals,
DYU,Logistics CIS,
DYU,Oil,
EAT,Horticulture,
EAU,|US|Somali,
EAU,Nordic / Lutheran|,
EAU,Paper & Furniture,
EBD,Gold,
EBL,|SE|Iraqi,
EBL,Oil,
ECN,Sunni|,
ECN,Turkish|,
EDI,|UK|Polish,
EDI,Academia,University of Edinburgh
EDI,Banking,
EDI,Golf,
EDI,Whiskey,
EG1,Academia,
EG9,Academia,
EH1,Offshore Oil,oil platform
EIN,CPG & Retail,
EIN,Dairy,
EIS,High finance,
ELG,Gold,El Gouera (FIFO)
ELP,Hispanic|,
ELP,Horticulture,
ELP,Logistics NAC,
ELP,Petrochemicals,
ELS,Automotive,
ELS,Platinum,
EMA,Logistics EU Med,
EN1,Offshore Oil,oil platform
EN2,Offshore Oil,oil platform
EN3,Offshore Oil,oil platform
EN4,Offshore Oil,oil platform
EN9,Offshore Oil,oil platform
ENA,LNG,
ENO,Grain Belt,
ESB,|DK|Turkish,
ESB,|NL|Turkish,
ESB,|TR|Iraqi,
ESB,Bureaucracy,
EUG,Academia,University Oregon
EUG,Footwear,
EVN,|FR|Armenian,
EVN,|RU|Armenian,
EVN,Logistics CIS,
EWR,|US|Brazilian,
EWR,|US|Chinese,
EWR,|US|Indian,
EWR,|US|Jewish,
EWR,|US|Nigerian,
EWR,|US|Pakistani,
EWR,Global Logistics,
EWR,Pharma,
EWR,Software,
EWR,US Finance,
EXT,Wind Energy,
EZE,|AR|Bolivian,
EZE,|US|Jewish,
EZE,Banking,
EZE,Logistics LATAM,
EZE,Loves Florianopolis x2|,
FAI,Arctic Oil,Fairbanks Alaska
FAI,Forestry,Fairbanks
FAI,Loves Arctic|,
FAI,Santa,
FAO,Atlantic Fishing,
FAO,Mediterranean Ag,
FAR,Grain Belt,
FAR,Nordic / Lutheran|,
FAT,|US|Guerrero & Oaxaca,
FAT,Grain Belt,
FBM,|CD|Congolese,
FBM,Copper,Lubumbashi DRC
FBM,Uranium,
FCN,Atlantic Fishing,
FCO,|AU|Italian,
FCO,|BR|Italian,
FCO,|IT|Filipino,
FCO,|US|Italian,
FCO,Telco,
FEZ,|FR|Moroccan,
FEZ,|NL|Moroccan,
FEZ,Mediterranean Ag,
FIH,|CD|Congolese,
FIH,Gemstones,
FJR,|AE|Malayali,
FKB,Paper & Furniture,Karlsruhe/Baden-Baden
FLL,|CU|Cuban x2,
FLL,|US|Jewish,
FLL,|US|Venezuelan,
FLL,CC|,
FLL,Hispanic|,
FLN,Loves Florianopolis x2|,
FLN,Surfing,
FLR,Textiles,
FLR,Viticulture,
FMM,Loves Arctic|,
FMM,Loves Bolzano x2|,
FMO,Paper & Furniture,Münster/Osnabrück
FNT,Automotive,
FOC,|AU|Chinese,
FOC,|CA|Chinese,
FOC,|ID|Chinese,
FOC,|TH|Chinese,
FOC,|US|Chinese,
FOC,Chinese Tourism|,
FOC,Footwear,
FOC,Logistics APAC,
FOR,Textiles,
FRA,|DE|Serbian,
FRA,|DE|Turkish,
FRA,Global Logistics,
FRA,High finance,
FRA,Industrial automation,
FRA,Loves Arctic|,
FRA,Loves Bolzano x2|,
FRA,Pharma,
FRU,Agriculture,
FSD,Grain Belt,
FSD,Nordic / Lutheran|,
FSD,US Finance,
FSM,Cotton,
FSZ,Appliances,
FSZ,Heavy industry,
FUK,Appliances,
FUK,Electronics,
FWA,Academia,Purdue University
GAU,Paper & Furniture,Guwahati
GAU,Rice,
GAU,Sunni|,
GBB,Agriculture,
GBB,Cotton,
GBE,Diamonds,
GCK,Wind Energy,
GDL,|US|Jalisco & Michoacán,
GDL,CPG & Retail,
GDL,Software,
GDL,Textiles,
GDN,|IE|Polish,
GDN,|US|Polish,
GDN,Marine,
GDX,Arctic Fishing,
GDX,Gold,Magadan (Kolyma region) Russia
GEG,Forestry,Spokane
GEO,Oil,Georgetown
GFK,Nordic / Lutheran|,
GIB,Casinos,
GIB,High finance,
GIB,Marine,
GIG,|US|Brazilian,
GIG,Entertainment,
GIG,Offshore Oil,
GIG,Telco,
GIZ,Coffee,
GIZ,Horticulture,
GJL,|FR|Algerian x2,
GLA,Defense,
GLA,Heavy industry,
GLA,Marine,
GLA,Whiskey,
GLH,Rice,
GLT,Aluminum,
GLT,LNG,
GMO,|US|Nigerian,
GMP,|JP|Korean,
GMP,|US|Korean,
GMP,Appliances,
GMP,CPG & Retail,
GMP,Electronics,
GMP,Industrial automation,
GNV,Academia,
GOA,Logistics EU Med,
GOA,Marine,
GOA,Russian Vacay Destination x2|,
GOH,Arctic Fishing,
GOH,Loves Arctic|,
GOJ,Automotive,
GOM,Rwanda Rundi|,
GOT,Automotive,
GOT,Life sciences,
GOT,Marine,
GPT,Aerospace,
GPT,Casinos,
GRB,Dairy,
GRB,Maple Syrup,
GRK,Ranching,
GRO,Mediterranean Ag,
GRR,Industrial automation,
GRU,|BR|Bolivian,
GRU,|BR|Italian,
GRU,|BR|Nikkei,
GRU,|BR|Syrian,
GRU,|US|Brazilian,
GRU,Aerospace,
GRU,Banking,
GRV,Defense RU,
GSO,Paper & Furniture,
GSP,Appliances,Electrolux
GUA,|US|Guatemalan,
GUM,Defense,
GUR,Pacific Fishing,
GUW,Oil,Atyrau
GUW,Uranium,Atyrau
GVA,Banking,
GVA,Bureaucracy,
GVA,CPG & Retail,Nestle
GVA,Francophonie|,
GVA,High finance,
GVR,Gemstones,
GWY,|US|Irish American,
GYA,Drug trafficking,
GYD,Horticulture,
GYD,LNG,
GYD,Offshore Oil,
GYE,|ES|Ecuadorian,
GYE,|US|Ecuadorian,
GYE,Coffee,
GYE,Logistics LATAM,
GYN,Ranching,
GYN,Sugar,
GZO,Pacific Fishing,
HAJ,Automotive,
HAJ,Loves Arctic|,
