A,airportZone,
ORY,Banking,
ORY,Textiles,
OSL,|NO|Somali,
OSL,Atlantic Fishing,
OSL,Marine,
OSL,Nordic Ski 2 City x2,
OSL,Renewable Energy,
OSL,Software,
OST,Atlantic Fishing,
OST,Wind Energy,
OTH,Forestry,North Bend/Coos Bay
OTP,|IT|Romanian,
OTP,Automotive,
OTP,Petrochemicals,
OUL,Forestry,Oulu
OVB,Software,
PAB,Aluminum,
PAE,Academia,
PAE,CPG & Retail,
PAP,|CA|Haitian,
PAP,|CL|Haitian,
PAP,Textiles,
PBC,Automotive,
PBI,|CU|Cuban x2,
PBI,|US|Brazilian,
PBI,|US|Colombian,
PBI,|US|Jewish,
PBI,Golf,
PBM,|NL|Surinamese,
PBU,Drug trafficking,
PDG,Spices / Tropical Ag,
PDT,Paper & Furniture,
PDV,Appliances,
PDV,Heavy industry,Plovdiv
PDX,Footwear,
PDX,Software,
PEK,|AU|Chinese,
PEK,|CA|Chinese,
PEK,|ID|Chinese,
PEK,|TH|Chinese,
PEK,|US|Chinese,
PEK,Academia,Tsinghua University
PEK,Aerospace,
PEK,Bureaucracy,
PEK,Chinese Tourism|,
PEN,|MY|Malayali,
PEN,|MY|Tamil,
PEN,Electronics,
PER,|AU|Chinese,
PER,|AU|Indian,
PER,Gold,Perth
PER,LNG,
PER,Logistics APAC,
PER,Surfing,
PER,Uranium,Perth
PES,Paper & Furniture,
PEW,|PK|Afghan,
PEW,Drug trafficking,
PEW,Pashto|,
PFO,EU|,
PFO,Greek|,
PHC,Offshore Oil,
PHF,Aerospace,
PHL,|US|Irish American,
PHL,|US|Italian,
PHL,|US|Jewish,
PHL,|US|Korean,
PHL,|US|Stateside Puerto Ricans,
PHL,Academia,Penn State University
PHL,Life sciences,
PHL,US Finance,
PHO,Copper,Phoenix USA
PHX,|US|Guerrero & Oaxaca,
PHX,|US|Jalisco & Michoacán,
PHX,Copper,
PHX,Semiconductors,
PIA,Healthcare,
PIA,Heavy industry,Caterpillar Inc
PIT,Academia,
PIT,Industrial automation,
PIT,Life sciences,
PIT,Loves DR x2|,
PIT,Software,
PIT,Steel,
PKC,Arctic Fishing,
PKC,Gold,Petropavlovsk-Kamchatsky (Kamchatka) Russia
PKU,Oil,
PKU,Petrochemicals,
PKV,Defense RU,
PKX,|AU|Chinese,
PKX,|CA|Chinese,
PKX,|ID|Chinese,
PKX,|TH|Chinese,
PKX,|TH|Chinese,
PKX,|US|Chinese,
PKX,Banking,
PKX,Chinese Tourism|,
PLM,Coffee,
PLO,Pacific Fishing,
PLU,Drug trafficking,
PLZ,Automotive,
PLZ,Surfing,Jeffrey’s Bay
PMC,Pacific Fishing,
PMG,Drug trafficking,
PMI,Loves Mallorca x2|,
PMI,Mediterranean Ag,
PMO,|AU|Italian,
PMO,|BR|Italian,
PMO,|US|Italian,
PMO,Agribusiness,
PMO,Mediterranean Black Sea,
PMR,Dairy,
PMW,Gemstones,
PNH,Spices / Tropical Ag,
PNH,Textiles,
PNQ,|SG|Marathi,
PNQ,Automotive,
PNQ,Heavy industry,
PNQ,Sugar,
PNS,Cotton,Pensacola USA
PNS,Defense,
PNS,Paper & Furniture,Pensacola
POA,Agribusiness,
POA,Footwear,
POA,Nordic / Lutheran|,
POP,Loves DR x2|,
POS,Forestry,
POS,Oil Refining,
POS,Tea,
POZ,Logistics EU Med,
PPB,Sugar,
PPP,Spices / Tropical Ag,
PPP,Sugar,
PQI,Francophonie|,
PRC,Golf,
PRG,Automotive,
PRG,Healthcare,
PRN,Mediterranean Ag,
PSA,|IT|Romanian,
PSA,Viticulture,
PSG,Seafood,
PSP,Golf,
PSP,Renewable Energy,
PSR,Mediterranean Black Sea,
PTF,Surfing,
PTG,Diamonds,
PTU,Platinum,
PTY,Banking,
PTY,Global Logistics,
PTY,Logistics NAC,
PUB,Aerospace,
PUB,Hispanic|,
PUJ,Drug trafficking,
PUJ,Loves DR x2|,
PUQ,Viticulture,Magallanes wine region
PUS,|JP|Korean,
PUS,|US|Korean,
PUS,Aluminum,
PUS,Electronics,
PUS,Marine,
PUS,Seafood,
PUS,Wind Energy,
PUW,Academia,
PVD,|US|Brazilian,
PVD,Academia,Brown University
PVD,Lusophone|,
PVD,Pharma,
PVD,Toys,
PVG,|AU|Chinese,
PVG,|CA|Chinese,
PVG,|ID|Chinese,
PVG,|TH|Chinese,
PVG,|US|Chinese,
PVG,Chinese Tourism|,
PVG,Electronics,
PVG,Global Logistics,
PVG,High finance,
PVG,Industrial automation,
PVH,Amazonia,
PVH,Amazonia,
PVR,Surfing,
PWM,Atlantic Fishing,ME
PXH,Copper,Mount Eba
PXM,Surfing,
PXU,Coffee,
PZU,Gold,
PZU,Logistics MEA,
PZU,Oil Refining,
QRO,Aerospace,
QRO,Appliances,Mabe
QRW,Oil,Warri
QSZ,Sunni|,
RAI,Lusophone|,
RAK,|FR|Moroccan,
RAK,|NL|Moroccan,
RAO,Footwear,Franca
RAP,Casinos,
RBA,|FR|Moroccan,
RBA,|NL|Moroccan,
RBA,Mediterranean Ag,
RCB,Aluminum,
RDM,Forestry,
RDP,Shia|,
RDU,Academia,
RDU,Life sciences,
RDU,Loves DR x2|,
RDU,Telco,
REC,Logistics LATAM,
REC,Marine,
REC,Petrochemicals,
REC,Sugar,
REN,Aluminum,
RES,Agribusiness,
REX,Offshore Oil,
RGN,Drug trafficking,
RGN,Rice,
RGN,Textiles,
RHI,Maple Syrup,
RIC,Petrochemicals,
RIC,US Finance,
RIX,Paper & Furniture,Riga
RJ1,Aerospace,Chōfu
RJK,Mediterranean Black Sea,
RKT,|AE|Malayali,
RKV,Geothermal,
RMO,Mediterranean Ag,
RNO,Casinos,
RNO,Gold,Reno
RNO,SoCal NoCal,
ROC,|US|Somali,
ROC,Healthcare,
ROC,Loves DR x2|,
ROS,Loves Florianopolis x2|,
ROS,Ranching,
ROV,Defense RU,
ROV,Grain Belt,
ROV,Logistics CIS,
ROW,UFOs,
RSA,Ranching,
RST,Nordic / Lutheran|,
RSW,Hispanic|,
RTM,|NL|Indonesian,
RTM,Global Logistics,
RTM,Logistics EU Med,
RUH,|SA|Bangladeshi,
RUH,|SA|Malayali,
RUH,|SA|Pakistani,
RUH,Logistics MEA,
RUH,Petrochemicals,
RUT,Dairy,
RVN,Santa,
SA3,Offshore Oil,oil platform
SAB,LNG,
SAF,Hispanic|,
SAH,Shia|,
SAI,Chinese Tourism|,
SAL,|US|Salvadoran,
SAL,Logistics NAC,
SAL,Paper & Furniture,
SAN,|US|Guerrero & Oaxaca,
SAN,|US|Iranian,
SAN,|US|Samoan,
SAN,Defense,
SAN,Life sciences,
SAN,SoCal NoCal,
SAP,Spices / Tropical Ag,
SAT,Defense,
SAT,Healthcare,
SAT,Hispanic|,
SAT,Ranching,
SAV,Golf,
SAV,Logistics NAC,
SAV,Loves DR x2|,
SAW,|TR|Iraqi,
SAW,Footwear,
SAW,Steel,
SAW,Textiles,
SBA,Academia,Caltech
SBA,Offshore Oil,
SBD,|US|Guerrero & Oaxaca,
SBD,SoCal NoCal,
SBL,Gemstones,
SBN,Academia,Notre Dame
SBW,Paper & Furniture,
SBY,Aerospace,
SCC,LNG,
SCE,Academia,State College
SCK,Mediterranean Ag,
SCL,|CL|Haitian,
SCL,Colonial ties bind,
SCL,Copper,Santiago Chile
SCL,Logistics LATAM,
SCN,Wind Energy,
SCO,Oil,
SCO,Uranium,Aktau
SDF,Academia,
SDF,Appliances,GE HQ
SDF,Global Logistics,
SDF,Logistics NAC,
SDF,Loves DR x2|,
SDF,Whiskey,
SDJ,Appliances,
SDQ,Footwear,
SDQ,Gold,
SDQ,Spices / Tropical Ag,
SDU,Coffee,
SDU,Heavy industry,
SDU,Logistics LATAM,
SDU,Offshore Oil,
SEA,|US|Chinese,
SEA,|US|Indian,
SEA,|US|Samoan,
SEA,|US|Somali,
SEA,|US|Vietnamese,
SEA,Aerospace,
SEA,Arctic Fishing,
SEA,Coffee,
SEA,Software,
SFJ,Santa,
SFN,Grain Belt,
SFO,|US|Bengali,
SFO,|US|Chinese,
SFO,|US|Indian,
SFO,|US|Jewish,
SFO,Cantonese|,
SFO,High finance,
SFO,SoCal NoCal,
SFO,Software,
SFO,US Finance,
SGN,|AU|Vietnamese,
SGN,|JP|Vietnamese,
SGN,|US|Vietnamese,
SGN,Coffee,
SGN,CPG & Retail,
SGN,Footwear,
SGN,Textiles,
SHA,|AU|Chinese,
SHA,|CA|Chinese,
SHA,|ID|Chinese,
SHA,|TH|Chinese,
SHA,|US|Chinese,
SHA,Chinese Tourism|,
SHA,Pharma,
SHA,Renewable Energy,
SHA,Semiconductors,
SHA,Steel,
SHC,Aerospace,
SHE,Chinese Tourism|,
SHE,Paper & Furniture,Shenyang
SHE,Steel,
SHJ,|AE|Malayali,
SHJ,Marine,
SHV,Oil,
SIN,|SG|Marathi,
SIN,Electronics,
SIN,Global Logistics,
SIN,High finance,
SIN,Life sciences,
SIN,Logistics APAC,
SIN,Semiconductors,
SIN,Telco,
SIP,|RU|Armenian,
SIP,Defense RU,
SIT,Arctic Fishing,
SJC,|US|Bengali,
SJC,|US|Chinese,
SJC,|US|Indian,
SJC,Academia,
SJC,Apple,
SJC,Hispanic|,
SJC,Renewable Energy,
SJC,Semiconductors,
SJC,SoCal NoCal,
SJC,Software,
SJO,Spices / Tropical Ag,
SJT,Cotton,
SJU,Logistics NAC,
SJU,Pharma,
SKD,Cotton,
SKG,Heavy industry,
SKG,Marine,
SKG,Mediterranean Ag,
SKT,Rice,
SKT,Toys,
SKZ,Agriculture,
SLA,UFOs,Cachi AR
SLA,Uranium,
SLA,Viticulture,
SLC,|CL|Colombian,
SLC,|CL|Samoan,
SLC,|CL|Venezuelan,
SLC,Copper,
SLC,US Finance,
SLI,Copper,Solwesi Zambia
SLK,Maple Syrup,
SLL,|OM|Malayali,
SLW,Automotive,
SLY,Russian Vacay Destination x2|,
SLZ,Agribusiness,
SMF,|US|Guerrero & Oaxaca,
SMF,Dairy,
SMF,Mediterranean Ag,
SMF,Rice,
SMF,SoCal NoCal,
SMR,Drug trafficking,
SMR,Marine,
SMX,Aerospace,
SNA,|US|Iranian,
SNA,|US|Jewish,
SNA,|US|Samoan,
SNA,|US|Vietnamese,
SNA,Academia,USC
SNA,Defense,
SNA,Hispanic|,
SNA,SoCal NoCal,
SNN,|US|Irish American,
SNN,Dairy,
SNP,Arctic Fishing,AK
SOF,Agribusiness,
SOF,Loves Kavala x2|,
SOF,Software,
SON,Pacific Fishing,
SOQ,Nickel,
SOU,UFOs,Stonehenge
SP1,Academia,
SPI,Grain Belt,
SPS,Ranching,
SPX,UFOs,
SRE,Zinc-lead,
SSA,Petrochemicals,
SSA,Sugar,
SSG,Offshore Oil,
SSH,Russian Vacay Destination x2|,
STL,CPG & Retail,
STL,Healthcare,
STL,Logistics NAC,
STL,Pharma,
STM,Amazonia,
STM,Spices / Tropical Ag,
STN,|GB|Indian,
STR,|DE|Serbian,
STR,Automotive,
STR,Loves Bolzano x2|,
STR,Paper & Furniture,Stuttgart
STR,Pharma,
STS,|US|Guerrero & Oaxaca,
STS,Geothermal,The Geysers
STS,SoCal NoCal,
STS,Viticulture,
STV,|KE|Gujarati,
STV,Dairy,
STV,Diamonds,
STW,Defense RU,
SUB,|ID|Chinese,
SUB,|ID|Tamil,
SUB,|NL|Indonesian,
SUB,Logistics APAC,
SUB,Nickel,
SUB,Oil,Cepu Block
SUB,Oil Refining,
SUJ,Appliances,
SUV,Pacific Fishing,
SVC,Copper,
SVG,Offshore Oil,
SVG,Paper & Furniture,
SVO,|RU|Armenian,
SVO,Defense RU,
SVO,LNG,
SVO,Oil,
SVO,Russian Vacay Destination x2|,
SVO,Software,
SVO,Sunni|,
SVX,Gold,
SVX,Russian Vacay Destination x2|,
SVX,Steel,
SW1,Banking,
SXB,|FR|Polish,
SXR,Sunni|,
SXR,Sunni|,
SYD,|AU|Chinese,
SYD,|AU|Greek,
SYD,|AU|Indian,
SYD,|AU|Vietnamese,
SYD,Banking,
SYD,Footie Traffic x2,
SYD,Logistics APAC,
SYD,Surfing,
SYK,Spices / Tropical Ag,
SYX,Russian Vacay Destination x2|,
SZB,|MY|Malayali,
SZX,Apple,
SZX,Banking,
SZX,Cantonese|,
SZX,Chinese Tourism|,
SZX,Electronics,
SZX,Global Logistics,
SZX,Industrial automation,
SZX,Renewable Energy,
TAC,Sugar,
TAE,Healthcare,
TAM,Copper,
TAM,Offshore Oil,
TAM,UFOs,
TAM,UFOs,
TAO,|AU|Chinese,
TAO,|CA|Chinese,
TAO,|ID|Chinese,
TAO,|TH|Chinese,
TAO,|US|Chinese,
TAO,Appliances,Haier HQ
TAO,Chinese Tourism|,
TAO,Marine,
TAO,Seafood,
TAS,Logistics CIS,
TAS,Textiles,
TBS,Logistics EU Med,
TBS,Viticulture,
TBT,Amazonia,
TBZ,|DE|Iranian,
TBZ,|TR|Iranian,
TBZ,|US|Iranian,
TBZ,Cotton,
TBZ,Heavy industry,
TCA,Gold,Wau (Granites Mine) Northern Territory
TCA,UFOs,Wycliffe Well
TCO,Drug trafficking,
TCR,|AE|Tamil,
TCR,|ID|Tamil,
TCR,|MY|Tamil,
TCR,Indian Ocean Fishing,
TET,Logistics MEA,
TEZ,Sunni|,
TFF,Amazonia,
TFN,British Sunny Vacay x2|,
TFS,British Sunny Vacay x2|,
TFU,|AU|Chinese,
TFU,|CA|Chinese,
TFU,|ID|Chinese,
TFU,|TH|Chinese,
TFU,|US|Chinese,
TFU,Agribusiness,
TFU,Chinese Tourism|,
TFU,Semiconductors,
TGU,Coffee,
TGZ,Coffee,
THL,Drug trafficking,
THR,|DE|Iranian,
THR,|TR|Iranian,
THR,|US|Iranian,
THR,Logistics MEA,
TIA,Footwear,
TIF,|AE|Pakistani,
TIF,|SA|Pakistani,
TIF,|UK|Pakistani,
TIF,|US|Pakistani,
TIR,|CA|Telugu,
TIV,Mediterranean Black Sea,
TKG,Geothermal,
TKU,Forestry,Turku
TLE,Indian Ocean Fishing,
TLH,Academia,
TLL,Telco,
TLN,|FR|Algerian x2,
TLQ,Cotton,
TLS,|FR|Algerian x2,
TLS,|FR|Moroccan,
TLS,Aerospace,
TLV,|FR|Jewish,
TLV,|IE|Ethiopian,
TLV,|IE|Filipino,
TLV,|UK|Jewish,
TLV,|US|Jewish,
TLV,Defense,
TLV,Diamonds,
TLV,Horticulture,
TLV,Software,
TMC,Nickel,
TMT,Amazonia,
TNA,Aluminum,
TNA,Automotive,
TNA,Chinese Tourism|,
TNE,Aerospace,
TNG,Logistics EU Med,
TNG,Textiles,
TNH,Gold,
TNR,Agriculture,
TOS,Atlantic Fishing,
TOS,Defense,
TOS,Renewable Energy,
TOY,Rice,
TPA,Golf,
TPA,Healthcare,
TPA,Logistics NAC,
TPA,Software,
TPE,Electronics,
TPE,HK Taiwan Kinship|,
TPE,Semiconductors,
TRD,Nordic Ski 2 City x2,
TRD,Software,
TRF,Santa,
TRG,Horticulture,
TRN,|IT|Romanian,
TRN,Automotive,
TRN,Healthcare,
TRS,Marine,
TRU,Coffee,
TRU,Copper,Trujillo Peru
TRV,|AE|Malayali,
TRV,|MY|Malayali,
TRV,|OM|Malayali,
TRV,|SA|Malayali,
TRV,Healthcare,
TRV,Software,
TRZ,|AE|Tamil,
TRZ,|ID|Tamil,
TRZ,|MY|Tamil,
TSA,Semiconductors,
TSF,|IT|Romanian,
TSF,CPG & Retail,
TSN,Automotive,
TSN,Logistics APAC,
TSN,Petrochemicals,
TSN,Semiconductors,
TSS,Banking,
TSS,High finance,
TSV,Copper,
TSV,Nickel,
TTG,Sugar,
TTN,Academia,Rutgers University
TTU,Drug trafficking,
TUC,Agribusiness,
TUL,Aerospace,
TUL,LNG,
TUL,Oil,
TUL,Oil Fracking,
TUN,|FR|Tunisian x2,
TUN,Automotive,
TUN,Logistics EU Med,
TUN,Mediterranean Ag,
TUR,Amazonia,
TUS,Defense,
TUS,Gemstones,
TUS,Golf,
TUS,Hispanic|,
TXK,Wind Energy,
TYN,Toys,
TYS,Academia,
TZX,Horticulture,
TZX,Mediterranean Black Sea,
UBN,Gold,
UBN,Ranching,
UDI,Dairy,
UDI,Logistics LATAM,
UDR,Sugar,
UDR,Zinc-lead,Rampura Agucha
UET,Pashto|,
UFA,Oil Refining,
UFA,Petrochemicals,
UFA,Russian Vacay Destination x2|,
UGO,Coffee,
UIO,|ES|Ecuadorian,
UIO,|US|Ecuadorian,
UIO,Coffee,
UIO,Horticulture,
UIO,Paper & Furniture,Quito
UKB,CPG & Retail,
UKB,Heavy industry,
UKB,Life sciences,
UKB,Rice,
UME,Forestry,Umeå
UPG,|ID|Chinese,
UPG,Marine,
UPG,Nickel,
UPN,|US|Jalisco & Michoacán,
URA,Oil,
URC,Aluminum,
URC,Cotton,
URC,Oil,
URC,Sunni|,
USK,Russian Vacay Destination x2|,
USN,Oil Refining,
UTH,Rice,
UTP,|TH|Chinese,
UTP,Appliances,
UTP,Russian Vacay Destination x2|,
UUD,Gold,Ulan-Ude (Transbaikal) Russia
UUS,Defense RU,
UUS,Gold,Yuzhno-Sakhalinsk (Kurils) Russia
UUS,LNG,
UUS,Oil,
VAA,Forestry,Vaasa
VAR,Casinos,
VCE,Marine,
VCP,|US|Brazilian,
VCP,Logistics LATAM,
VCP,Petrochemicals,
VER,Offshore Oil,
VER,Offshore Oil,
VER,Petrochemicals,
VGA,|CA|Telugu,
VGO,Atlantic Fishing,
VHM,Zinc-lead,
VIE,Life sciences,
VIE,Pharma,
VII,Seafood,
VIX,Marine,
VKO,CPG & Retail,
VKO,Defense RU,
VKO,LNG,
VKO,Logistics CIS,
VKO,Oil,
VKO,Russian Vacay Destination x2|,
VKT,Russian Vacay Destination x2|,
VLC,Logistics EU Med,
VLC,Mediterranean Black Sea,
VNO,Renewable Energy,
VOG,Heavy industry,
VRA,Drug trafficking,
VRA,Sugar,
VRN,Agribusiness,
VRN,Viticulture,
VST,Forestry,Västerås
VST,Industrial automation,
VTE,Logistics APAC,
VTZ,|CA|Telugu,
VTZ,Rice,
VUP,Drug trafficking,
VVI,|BR|Bolivian,
VVI,|MX|Bolivian,
VVO,Arctic Fishing,
VVO,Defense RU,
VVO,Forestry,Vladivostok
VVO,Logistics CIS,
VVO,Marine,
VXC,Agriculture,
WAG,Defense,
WAG,Horticulture,
WAG,Viticulture,
WAW,|IE|Polish,
WAW,|US|Polish,
WAW,CPG & Retail,
WAW,Heavy industry,
WDH,Gold,Windhoek
WDH,Ranching,
WDH,Uranium,Windhoek (Eros)
WJU,Healthcare,
WLG,|NZ|Samoan,
WLG,Pacific Fishing,
WNH,Aluminum,
WNS,Cotton,
WNZ,Aluminum,
WNZ,Footwear,
WNZ,Toys,
WRE,Geothermal,Kawerau geothermal power station
WRO,CPG & Retail,
WRO,Electronics,
WTK,Zinc-lead,Red Dog
WUH,|AU|Chinese,
WUH,|CA|Chinese,
WUH,|ID|Chinese,
WUH,|TH|Chinese,
WUH,|US|Chinese,
WUH,Automotive,
WUH,Chinese Tourism|,
WUH,Cotton,
WUX,Chinese Tourism|,
WUX,Pharma,
WUX,Renewable Energy,
WUX,Rice,
WUX,Textiles,
WVB,Uranium,Swakopmund
WXN,Aluminum,
XAP,Paper & Furniture,
XFN,Automotive,
XIY,Aerospace,
XIY,Chinese Tourism|,
XIY,Logistics APAC,
XIY,Software,
XMN,|AU|Chinese,
XMN,|CA|Chinese,
XMN,|ID|Chinese,
XMN,|TH|Chinese,
XMN,|US|Chinese,
XMN,Chinese Tourism|,
XMN,Electronics,
XMN,Sugar,
XMN,Textiles,
XNA,Appliances,
XNA,CPG & Retail,
XNN,Heavy industry,
XUZ,Heavy industry, SANY Heavy Industry
XWA,Oil Fracking,Williston
YAM,Heavy industry,
YAP,Pacific Fishing,
YAT,Gold,Attawapiskat (De Beers Victor Mine) Ontario
YBC,Aluminum,
YBC,Forestry,Baie-Comeau
YBC,Francophonie|,
YBG,Aluminum,
YBG,Francophonie|,
YBG,Maple Syrup,
YBR,Grain Belt,
YBR,Ranching,
YBY,Oil Fracking,
YCB,Academia,
YCG,Horticulture,
YCL,Francophonie|,
YDN,Grain Belt,
YDN,Grain Belt,
YDP,Nickel,
YEG,LNG,
YEG,Loves Cancun x2|,
YEG,Oil Fracking,
YEI,Appliances,Beko
YFB,Loves Arctic|,
YFB,Santa,
YGP,Francophonie|,
YHM,|CA|Chinese,
YHM,Logistics NAC,
YHM,Loves Cancun x2|,
YHM,Steel,
YHU,Forestry,Saint-Hubert
YHU,Francophonie|,
YHU,Maple Syrup,
YHU,UFOs,Raëlism HQ
YHZ,Atlantic Fishing,
YHZ,Marine,
YHZ,Renewable Energy,
YIA,Tea,
YIH,Logistics APAC,
YIN,Gold,Yining (various mines) Xinjiang
YIN,Zinc-lead,
YIW,Toys,
YKM,|US|Jalisco & Michoacán,
YKS,Diamonds,
YKS,Gold,
YLW,Gold,Kelowna (B.C. mines) British Columbia
YLW,Viticulture,Kelowna
YMJ,Uranium,Moose Jaw
YMM,Nickel,
YMM,Oil Fracking,Athabasca
YMS,Zinc-lead,
YMS,Zinc-lead,
YMT,Francophonie|,
YNT,Aluminum,
YOW,Bureaucracy,
YOW,Defense,
YOW,Gold,Ottawa (Canadian HQs) Ontario
YOW,Loves Cancun x2|,
YOW,NA Capitols|,
YPE,Oil Fracking,
YPY,Forestry,
YQB,Aluminum,
YQB,Francophonie|,
YQB,Gold,Quebec City (Canadian HQs) Quebec
YQB,Loves Cancun x2|,
YQB,Maple Syrup,
YQB,Software,
YQG,Automotive,
YQL,Ranching,
YQL,Ranching,
YQR,Arctic Oil,Estevan Saskatchewan
YQR,Grain Belt,
YQR,Logistics NAC,
YQR,Ranching,
YQR,Uranium,Regina
YQT,Platinum,
YQU,Oil Fracking,Grande Prairie Canada
YQX,LNG,
YQY,Atlantic Fishing,
YRJ,Francophonie|,
YRJ,Maple Syrup,
YSB,Nickel,
YSB,Platinum,
YTF,Francophonie|,
YTM,Francophonie|,
YTS,Francophonie|,
YTS,Gold,
YTS,Nickel,
YTY,Agriculture,
YTY,Toys,
YTZ,Banking,
YTZ,CPG & Retail,
YTZ,High finance,
YTZ,Logistics NAC,
YUL,|CA|Algerian,
YUL,|CA|Haitian,
YUL,|CA|Moroccan,
YUL,Aerospace,
YUL,Banking,
YUL,Francophonie|,
YUL,Logistics NAC,
YUL,Loves Cancun x2|,
YUL,Software,
YUM,Hispanic|,
YUM,Horticulture,
YUY,Copper,
YUY,Francophonie|,
YVO,Francophonie|,
YVO,Gold,
YVR,|CA|Bengali,
YVR,|CA|Chinese,
YVR,|CA|Punjabi,
YVR,Arctic Fishing,
YVR,Cantonese|,
YVR,Copper,Vancouver Canada
YVR,Gold,Vancouver
YVR,Software,
YW9,Academia,
YWB,Nickel,
YWB,Platinum,
YWG,Agribusiness,
YWG,Grain Belt,
YWG,Healthcare,
YWG,Loves Cancun x2|,
YWG,Ranching,
YXC,Forestry,Cranbrook
YXC,Gemstones,
YXC,Grain Belt,
YXE,Arctic Oil,
YXE,Gold,
YXE,Ranching,
YXE,Uranium,Saskatoon
YXH,LNG,
YXJ,Arctic Oil,Fort St. John Canada
YXK,Francophonie|,
YXS,Forestry,Prince George
YXT,Aluminum,
YXU,Automotive,
YXU,Loves Cancun x2|,
YXU,Oil Fracking,
YXU,Rare earths,
YXU,Renewable Energy,
YXX,Grain Belt,
YXY,Gold,Whitehorse (Yukon mines) Yukon
YXY,Loves Arctic|,
YXY,Loves Cancun x2|,
YXY,Uranium,Whitehorse
YYB,Forestry,North Bay
YYC,|CA|Chinese,
YYC,|CA|Punjabi,
YYC,Loves Cancun x2|,
YYC,Oil,Calgary Canada
YYC,Oil Fracking,Calgary Canada
YYC,Telco,
YYE,Arctic Oil,
YYE,Forestry,Fort Nelson
YYF,Gold,Penticton (B.C. mines) British Columbia
YYG,Atlantic Fishing,
YYG,Wind Energy,
YYJ,Academia,
YYJ,Defense,
YYJ,Marine,
YYR,Defense,
YYR,Forestry,
YYT,Arctic Oil,
YYT,Atlantic Fishing,
YYY,Francophonie|,
YYZ,|CA|Bengali,
YYZ,|CA|Chinese,
YYZ,|CA|Punjabi,
YYZ,|CA|Telugu,
YYZ,Banking,
YYZ,Entertainment,
YYZ,High finance,
YYZ,Loves Cancun x2|,
YYZ,Software,
YZF,Gold,Yellowknife (Diavik/Ekati) Northwest Territories
YZF,Loves Arctic|,
YZP,Forestry,Sandspit
YZV,Aluminum,
YZV,Francophonie|,
ZAG,Logistics EU Med,
ZBF,Francophonie|,
ZCL,|US|Durango & Zacatecas,
ZHA,Heavy industry,
ZHA,Marine,
ZHA,Offshore Oil,
ZHA,Sugar,Zhanjiang
ZIH,|US|Guerrero & Oaxaca,
ZLO,|US|Jalisco & Michoacán,
ZNE,Copper,Newman
ZNE,Rare earths,
ZQN,Viticulture,
ZRH,Banking,
ZRH,Bureaucracy,
ZRH,High finance,
ZRH,Pharma,
ZUH,Rare earths,Zhuhai